DetailedPOS_N-Gram,Frequency
CDB PMS NNC_CCP PMS NNC,26
CCB JJN_CCP NNC_PMC,26
LM VBTS CCT NNC CCT,26
DTC NNC DTP NNP NNP,26
LM VBTF CCT NNP,26
CCT NNC CCB NNP CCT NNP,26
CCT PRI_CCP DTCP,26
VBTS DTC PRI_CCP,26
CCB DTCP NNC CCB NNC CCT,26
DTP NNP NNP CCP VBTS,26
CCP NNC CCB NNC LM,26
NNC CCB NNC CCT JJD,26
LM VBTS_CCP VBAF,26
DTCP NNC_CCP PRO LM,26
NNC CCP DTP NNP NNP CCT,26
NNC PMS PRI_CCP,25
CCP NNC CCB NNC_PMC,25
DTC PRI RBI_CCP NNC,25
VBW CCB PRSP_CCP,25
VBH NNC CCP CDB,25
PRSP_CCP DTCP NNC LM,25
DTCP NNC CCT JJD_CCP,25
CCP NNC CCP DTP NNP,25
NNP DTC NNC CCP,25
CCB PRI_CCP NNC CCB NNC,25
CCT PRI_CCP NNC CCA,25
CCB JJN PMS CDB,25
DTC PRSP_CCP PMS,25
CCB NNP LM RBF,25
DTP NNP RBW_CCP,25
PRSP_CCP DTCP NNC_PMC,25
DTC NNPA LM VBTS,25
DTC NNC LM VBTR CCT,25
CCT NNC CCB NNC PMS,25
NNP CCP VBOF DTC NNC,25
NNC DTP NNP NNP LM,25
DTC DTCP NNC CCB NNP LM,25
JJD_CCP DTCP NNC CCT,25
VBTR CCT PRSP_CCP,25
NNC DTC JJD_CCP,25
NNP RBW_CCP JJN PMS,25
DTC JJD_CCP NNC_CCP,25
CCT JJD CCP DTCP,25
NNC LM VBTS_PMP,25
NNP CCA DTC NNC CCB,25
NNC CCB NNC CCP VBH,25
VBOF DTP NNP DTC,25
DTCP NNC CCP RBL,25
NNC_CCP NNC LM VBTS,25
NNC_CCP JJD CCT NNC,25
NNC CCB FW CCP,25
DTC DTCP NNC CCB NNC CCB,25
CCB JJD CCP NNC_PMC,25
NNC CCT NNP NNP LM,25
NNP LM JJD_CCP,25
DTP NNP CCP DTC NNC,25
CCB NNC CCB NNP CCP DTP,25
DTCP NNC CCP VBTR_VBAF,25
DTC JJN PMS CDB,25
RBR CCT PRI_CCP NNC,25
CCB NNC RBK RBQ,25
LM VBTR_VBAF CCT NNC,25
CCP VBOF DTC PRSP_CCP,25
NNC CCB NNC CCT NNC_PMP,25
PRO CCT NNC CCB,25
NNC CCT CCT PRSP_CCP,25
NNC CCB NNP LM VBTR,25
LM VBAF CCT DTCP,25
NNC LM RBW_CCP,25
CCB DTCP JJD CCP NNC,25
DTCP JJD PMS NNP,25
VBTR CCT NNC_CCP,25
DTCP NNC RBL CCT NNP,25
JJD CCP NNC RBL,25
CCB NNP DTC NNC CCB,25
CCT NNC CCB DTCP NNC CCP,25
CCB NNC RBR CCT,25
RBW_CCP CDB CCT,25
RBR CCT JJD_CCP,25
VBW CCB PRI_CCP NNC,25
RBK RBQ VBTS DTC,25
DTC NNC CCB PRSP_CCP,25
CCB NNP CCP NNC,25
NNC RBK RBQ VBTS,25
CCP VBTS NNC CCT,25
NNC CCB NNC LM VBTS CCB,25
VBTS CCT DTCP NNC CCB,25
LM VBTS DTC NNC CCB,25
NNC CCT JJD CCB NNC,25
NNP DTC NNC CCB NNC,25
DTC NNP LM VBTS CCT,25
RBR CCT NNC_PMC,25
CCP VBTR CCT DTCP NNC,25
PRQ_CCP NNC_PMC,25
JJD_CCP NNC DTP NNP,25
VBTS CCT NNC CCA,25
NNP LM RBW_CCP,25
VBAF CCT NNC_PMC,25
PRS_CCP VBOF DTC,25
NNC CCP NNP_PMP,25
NNP NNP LM VBTS CCP DTC NNC,25
NNC CCT CCR PMS NNC,25
CCP DTC NNC CCB NNC LM,25
CCB NNP_CCP NNP CCT,25
NNC CCP RBM VBW,25
CCB PRSP_CCP NNC_PMC,25
RBQ DTC DTCP NNC,24
NNC CCB NNPA CCP DTP,24
RBK RBQ DTC DTCP NNC,24
CCA NNP LM VBTS,24
CCB NNC CCP PRO,24
NNC CCT PRI_CCP NNC CCT,24
NNC CCB NNP LM VBTS CCB,24
CCB NNC CCT NNP CCB,24
DTC PRSP_CCP DTCP NNC CCT,24
LM VBH NNC CCT,24
PRI_CCP NNC CCB NNC CCP,24
CCB NNC CCB NNP DTC,24
DTCP NNC CCB NNP CCB,24
CCB DTCP NNC CCA DTCP,24
DTCP JJD CCP NNC CCT,24
CCT PRSP_CCP JJN_CCP,24
NNC CCT PRI_CCP NNC CCP,24
VBAF CCT JJN_CCP,24
CCT PRQ_CCP DTCP,24
DTC VBAF CCT NNC,24
CCB NNC LM VBTF,24
VBW CCB NNC CCP,24
NNP NNP LM VBTS PMS,24
CCT DTCP NNC CCB NNC_PMC,24
CCB NNP RBW_CCP NNP,24
CCB DTCP NNC CCB NNC CCP,24
DTCP NNC CCT NNP LM,24
CCA VBTS CCB NNC,24
VBTR CCT JJD_CCP,24
NNC CCB VBN_CCP,24
NNC DTC VBTS_PMP,24
CCP NNP LM VBTS,24
NNP_CCP NNP CCB NNP CCP DTP,24
DTP NNP NNP LM VBTS CCP DTC,24
VBTR CCP DTC DTCP NNC,24
LM PRI_CCP NNC CCP,24
NNP CCA DTC PRSP_CCP,24
VBTS CCB NNC CCT NNC CCB,24
NNC LM VBTS CCT PRI_CCP,24
LM VBTS CCT NNP CCB,24
NNC CCB NNC CCP VBTR CCB,24
DTC PRQ_CCP NNC,24
NNC LM VBTS PMS NNC,24
NNP RBL CCT NNC,24
DTP NNP NNP RBW_CCP,24
NNC CCB PRI_CCP NNC CCP,24
CCT NNC RBK RBQ,24
CCB NNPA CCP DTP NNP NNP,24
VBTS CCT DTCP NNC CCP,24
DTC DTCP NNC CCT NNP,24
NNP CCT JJD CCB,24
CCB PRI_CCP NNC_PMC,24
VBW PMS NNC CCT,24
CCB JJD_CCP NNC CCA,24
CCB NNC RBL CCT NNP,24
CCP VBTS CCT PRI_CCP,24
DTC JJN_CCP NNC_CCP,24
NNC CCB DTCP VBTS,24
DTC JJN_CCP JJD_CCP,24
LM VBTS RBL CCT,24
JJD CCP NNC CCT NNP,24
DTC PRI_CCP JJD_CCP NNC,24
NNC CCB NNP RBW,24
VBTR CCB JJD_CCP NNC,24
NNP DTC JJN_CCP,24
CCT VBTR_CCP NNC,24
CCB NNP CCA NNP LM,24
DTC JJD CCP NNC CCP,24
NNC_CCP CDB_PMC,24
NNC CCT DTCP NNC CCA,24
VBW CCB JJN_CCP NNC,24
PRO LM VBTS CCB,24
VBTS DTP NNP NNP CCB,24
CCT NNP CCP DTP,24
NNP CCB VBOF DTC,24
LM VBTS CCP DTC NNC LM,24
DTC DTCP NNC LM VBAF,24
RBL CCT PRSP_CCP,24
VBTS CCT JJD CCP,24
JJD CCB NNC_PMC,24
CCR PMS NNC LM,24
CCB CDB NNC CCT,24
CCB NNC CCB NNP CCP DTP NNP,24
NNC CCB NNP CDB,24
CCA DTC NNC CCB NNP,24
DTCP NNC CCB NNP_PMP,24
LM VBTS NNC CCB,24
DTC NNC CCB NNP CCP DTP,24
CCT NNP RBW_CCP NNP,24
VBTR CCT DTCP NNC CCB,24
VBTS RBI DTP NNP CCP,23
NNC LM VBTF CCT NNC,23
VBS PRP_CCP VBOF,23
CCP VBTF CCT NNP,23
DTC NNC LM VBTS RBW_CCP,23
NNC CCP VBTR DTC,23
NNCA PRI_CCP NNC,23
CCT DTCP NNC CCT NNC CCB,23
CCB DTCP NNC CCP NNC,23
DTCP CCR PMS NNC,23
NNC CCT PRSP_CCP DTCP,23
CCT PRI_PMS NNCA PRI_CCP,23
NNC CCB FW_PMP,23
NNP LM VBTR_VBAF CCT,23
NNC CCB NNC DTP NNP,23
VBOF DTC JJD CCP,23
CCR DTC DTCP NNC,23
VBTR CCB NNC DTC,23
CCA JJD_CCP NNC CCB,23
NNP_CCP NNP CCB NNP CCP DTP NNP,23
NNC CCB NNP CCA CCB,23
CCT PRSP_CCP JJD_CCP NNC,23
DTC NNC CCP VBOF,23
NNP RBR CCT NNC,23
VBTS RBW_CCP CDB,23
DTCP NNC CCB NNC LM VBTS,23
JJD_CCP NNC CCT CCT NNC,23
JJD CCP NNC CCB DTCP NNC,23
VBOF DTC NNC CCB DTCP,23
DTC NNC CCT DTCP NNC,23
NNC_CCP NNP CCA,23
CCR PMS FW LM,23
NNP LM VBTS_PMC,23
NNP CCP DTC NNC CCB,23
VBTR_VBAF CCT DTCP NNC,23
JJD CCP NNC DTP,23
CCP VBTR CCB NNC CCB,23
JJD CCP NNC CCB NNC_PMP,23
NNP LM VBTS CCB CDB,23
PMS NNC CCB DTCP NNC,23
NNC CCT JJD CCP NNC CCB,23
PRI_CCP NNC RBI,23
NNC CCB NNP CCP DTC,23
DTCP JJD CCP NNC CCB,23
DTCP NNC CCP VBTR CCB,23
CCT NNC CCB PRSP_CCP NNC,23
CCB JJCS_JJD_CCP,23
CCP DTP NNP_NNPA,23
DTC PRI CCT DTCP,23
DTC NNC CCP NNC CCB,23
NNC CCT NNC RBW_CCP,23
DTC NNC CCP VBH,23
VBTS DTC DTCP NNC CCB,23
DTC PRQ_CCP DTCP,23
JJN_CCP JJD CCP NNC,23
CCR CCT JJD_CCP,23
PRSP_CCP NNC CCP DTP,23
CCT NNP LM VBTS CCB,23
JJCC JJD_CCP NNC CCT,23
CCT PRI_CCP NNC RBW_CCP,23
RBW DTC NNC CCT,23
VBTS CCB NNP_CCP,23
NNC CCT NNP NNP CCP,23
CCP VBTR CCB NNP,23
CCT NNC CCT PRSP_CCP,23
PMS NNC_CCP DTCP,23
CCT PRI_CCP NNC CCT NNC CCB,23
JJCS_JJD_CCP NNC CCB NNC,23
VBW DTC PRI_CCP,23
JJD_CCP NNC_PMS,23
DTC PRI_CCP DTCP NNC,23
DTP NNP LM VBTR,23
CCB NNP DTC DTCP,23
DTC NNC CCT NNC CCB NNP,23
DTCP NNC LM JJD,23
LM RBM VBW CCT,23
PMS NNC LM VBTS,23
DTC NNP_CCP NNP CCB NNP,23
NNP RBW_CCP JJN PMS CDB,23
CCT NNC CCP DTP NNP,23
DTC JJN_CCP NNC CCT,23
VBTS CCP DTC NNP,23
NNC CCB NNPA CCP DTP NNP,23
NNC CCT PRSP_CCP NNC_PMP,23
VBTS CCT JJD CCB,23
CCB NNP CCT NNP_PMP,23
VBTR CCB NNC_PMC,23
CCB NNC CCT VBOF,23
NNC CCA JJN_CCP,23
NNP DTC VBTS CCB,23
LM RBF VBTS CCB,23
CCB DTCP VBTR_VBAF,23
JJCS_JJD_CCP NNC CCP,23
DTCP NNC CCT VBW,23
NNP NNP LM RBD_CCP,23
DTC PRSP_CCP NNC LM VBTS,23
CCT DTCP NNC CCB NNC CCT,23
LM JJD CCP VBTS,23
CCB JJD_CCP NNC LM,23
DTC NNC CCB NNP NNP CCP,23
DTCP NNC LM VBTR CCP,23
DTC JJD_CCP NNC LM VBTS,23
RBR CCT DTCP NNC CCB,23
DTCP NNC CCP VBTR CCT,23
RBD_CCP VBTS CCT,23
DTC NNC_CCP NNC CCT,23
CCP JJD_CCP NNC CCB,23
DTC NNC CCB NNP CCP DTP NNP,23
VBW CCB NNC_CCP,23
NNP CCB NNP RBW_CCP,23
VBW CCT PRI_CCP,23
DTCP NNC LM VBTF,23
LM VBTR CCT DTCP,23
PRI_CCP CDB PMS,23
NNP LM RBD CCP,23
DTC NNC_CCP NNC CCB,23
NNC CCP VBH JJD,23
CCB JJN_CCP NNC_PMP,23
JJD CCP VBOF DTC,23
DTCP NNC CCT NNC CCP,23
CCT DTCP NNC CCB NNC CCB,23
DTC JJN_CCP NNC LM VBTS,22
CCT RBI_CCP PMS,22
DTC PRI_CCP NNC CCB NNC,22
CCP JJD_CCP NNC CCT,22
DTC NNC CCT PRI_CCP,22
NNC_CCP VBTR_VBAF,22
LM RBD_CCP JJD,22
DTCP NNC CCT NNP NNP,22
CCB NNC RBL CCT NNC,22
JJD_CCP NNC CCB NNC LM,22
DTC NNC_CCP VBTS,22
CCT NNC CCB CDB CCP,22
JJD_CCP NNC PMS,22
NNP CCT VBOF DTC,22
CCT NNC CCB NNP NNP_PMC,22
CCA JJN_CCP NNC,22
LM DTC NNC CCB,22
JJD_CCP NNC CCB NNP_PMP,22
CCB NNC LM VBTS CCP,22
VBTR CCB JJD CCP,22
VBW CCT NNC_PMP,22
NNP LM VBTR_CCP,22
RBR CCT NNC_PMP,22
CCB DTCP NNC_CCP JJD,22
LM VBTS CCB NNC CCT NNC,22
CCB JJD_CCP NNC CCB NNP,22
NNC CCP VBTS DTC,22
PRS DTC PRSP_CCP NNC,22
NNC CCB NNP CCP VBTS,22
NNC CCB PRI_CCP NNC_PMP,22
CCB NNP_PMP_PMS,22
CCP DTCP NNC CCB NNC,22
VBTS DTP NNP NNP DTC,22
DTC PRI CCB NNC,22
DTCP VBTR_VBAF CCT,22
JJD CCT NNC_CCP,22
CCB CDB CCP DTCP,22
JJD_CCP NNC CCB FW,22
LM VBTR CCB DTCP NNC,22
CCT DTC NNC LM,22
NNC CCB NNP NNP DTC,22
CCB NNC CCT NNP CCP,22
NNC CCT NNC CCP VBTS,22
DTCP NNC CCB FW,22
CCP NNC CCT JJD,22
NNP LM VBTS CCB JJN_CCP,22
NNP LM VBTS CCB PRI_CCP,22
NNC CCT NNC CCB PRI_CCP,22
CCP VBTR_VBAF CCT DTCP,22
CCR PMS NNC CCT NNC,22
DTC NNC CCT NNC_PMC,22
NNC CCB NNP_PMS,22
NNC CCB NNP CCB NNP CCT,22
VBTS_CCP PMS NNC,22
NNC CCT NNC CCT PRI_CCP,22
CCP VBH NNC CCB,22
LM VBTS CCB JJD CCP NNC,22
DTC NNC LM VBTS CCB NNC,22
NNP LM VBTS CCB PRSP_CCP,22
CCT NNC CCB NNC CCB DTCP,22
NNP LM VBTS RBW,22
VBTS CCB DTCP NNC DTC,22
NNC CCT DTCP JJD_CCP,22
CCB JJD_CCP DTCP NNC,22
NNP CCA NNP LM VBTS,22
VBTR CCB NNC_CCP,22
CCT PRI CCB DTCP,22
JJCC JJD JJC CCT,22
CCT NNP CCP DTP NNP,22
JJD CCP NNC RBL CCT,22
CCT DTCP NNC CCP VBTR,22
DTCP NNC CCT NNC CCA,22
VBH DTCP NNC CCP,22
JJD_CCP NNC RBL CCT,22
LM VBN_CCP NNC,22
CCB DTCP NNP CCP,22
DTCP NNC CCB NNP CCT,22
DTC JJCS_JJD CCP NNC,22
DTP NNP LM VBTS CCP,22
CCT JJN CCP NNC,22
JJD CCP NNC CCB NNC CCB,22
NNP CCP PRS LM,22
NNC DTC VBTS_PMC,22
NNP NNP CCP DTC NNC,22
NNC CCT NNC CCB NNC CCA,22
DTP NNP LM VBAF CCT,22
CCP DTC NNC LM VBTR,22
CDB CCB RBW NNPA,22
NNP LM VBTR_VBAF CCB,22
NNP LM VBTS_PMS,22
CCP VBH JJD_CCP NNC,22
DTCP NNC CCA VBTS,22
NNC CCA VBTS CCP,22
PRSP_CCP NNC_PMP_PMS,22
DTC PRI_CCP JJD,22
NNP LM JJD CCP,22
DTC JJCS_JJD_CCP NNC CCB,22
DTC NNC_CCP NNP LM,22
LM PRI_CCP JJD_CCP NNC,22
LM VBTS CCP VBOF,22
CCB JJN_CCP NNC CCA,22
NNP LM VBTF CCB,22
JJN_CCP NNC CCT NNC CCB,22
CCB NNC_CCP JJD CCB,22
PRI_CCP NNC CCB NNP NNP,22
DTC CDB NNC_CCP,22
JJD_CCP NNC CCB NNPA,22
PRI_CCP NNC CCP JJD,22
PRP DTC PRSP_CCP,22
VBTS DTC NNC CCB NNC,22
DTP NNP CCP VBTS,22
NNC_CCP PRO CCT,22
CCB NNC CCB JJD_CCP,22
DTC DTCP NNC CCT CCT,22
DTCP NNC CCB NNC CCB NNP,22
CDB CCT NNC CCB,22
VBTF CCB DTCP NNC,22
CCA DTC JJD_CCP NNC,22
VBTS DTP NNP_PMP,22
RBR DTP NNP_PMC,22
RBW_CCP PRS LM,22
DTC JJD_CCP FW,22
CCP RBL NNC CCB,22
CCT PRSP_CCP NNC CCA,22
CCT JJCS_JJD CCP NNC,22
PMS NNC CCT DTCP NNC,22
CCT CDB CCP DTCP,22
CCR CCT NNC CCB NNC,22
NNC CCB NNC CCB NNP CCT,22
DTCP JJD CCP NNC CCP,22
NNC CCP VBTF CCB,22
NNC CCB NNC CCP VBAF,21
DTC NNP NNP NNP LM VBTS,21
DTC NNC LM VBTS CCT NNC CCB,21
VBW CCT NNC CCB NNC,21
VBTS CCT NNC CCB DTCP,21
DTCP NNC CCP RBF,21
VBTS DTC JJN_CCP,21
NNC CCB NNC CCA NNC CCT,21
DTC NNC_CCP NNC LM,21
NNC_CCP VBOF DTC,21
CCB DTCP NNC PMS,21
NNP CCP DTP NNP NNP CCA,21
PMS CDB CCB RBW,21
VBTR_CCP NNC CCB NNC,21
DTC DTCP NNC CCB NNC CCP,21
NNC DTC DTCP NNC CCT,21
NNC RBW_CCP NNP CCB,21
CCP VBTS CCT NNP NNP,21
NNP NNP CCB NNP CCP DTP,21
PMS NNC_CCP JJD,21
NNC CCB PRI_CCP NNC CCB,21
VBTS CCT NNP CCP,21
PRI_PMS NNCA PRI_CCP NNC,21
VBTS CCR CCT NNC,21
DTCP NNC CCT NNC_PMP,21
NNC CCB NNP LM VBAF,21
NNC RBL CCT NNP CCB,21
JJD CCP CCR PMS,21
PMS CDB NNC CCT,21
CCT NNC LM VBTR,21
RBW_CCP NNC CCB NNC,21
PRS DTC NNC CCB,21
CCP NNC DTC VBTS CCT,21
RBD_CCP VBOF DTC NNC,21
JJD CCP NNC CCT DTCP,21
LM VBTR CCB JJD_CCP,21
NNP CCP DTP NNP NNP CCT,21
JJD_CCP NNC RBR,21
CCP NNC CCT DTCP NNC,21
PRO DTC JJN_CCP NNC CCP,21
DTC NNP CCB NNP CCT,21
DTC PRSP_CCP NNC CCB,21
CCP NNC CCT NNC CCB NNC,21
NNP NNP CCB NNP CCP DTP NNP,21
LM RBF VBTR CCB,21
CCB NNC DTC DTCP NNC,21
VBW DTC NNC CCP,21
DTC JJD_CCP NNC CCT NNC,21
DTC NNP LM VBAF,21
NNC CCA DTC PRSP_CCP,21
CCP DTP NNP NNP CCB,21
CCB DTCP NNC CCP VBTR,21
DTC VBTS CCP NNC,21
NNP CCT JJD CCP,21
DTC NNC CCB NNC CCT CCT,21
CCP DTC NNC LM RBF,21
CCT JJD_CCP NNC CCT NNC,21
NNP NNP LM VBTS_CCP,21
DTC PRSP_CCP NNC_CCP,21
CCT JJN_CCP NNC CCB NNC,21
NNC CCB NNC CCA DTCP,21
VBTS CCB NNC RBL,21
VBW DTC JJD_CCP NNC,21
NNC CCA DTCP NNC_PMP,21
JJD CCP NNC LM VBTS,21
CCB NNP CCA VBTS,21
CCT CCR PMS NNC CCB,21
VBTF CCT NNC CCB NNC,21
LM VBTS CCB JJN_CCP NNC,21
CCP NNC LM VBTS CCT,21
JJN PMS CDB NNC,21
VBTR CCT NNC_PMP,21
VBTS CCT PRI_CCP NNC CCT,21
DTCP NNC CCP VBH NNC,21
CCB DTCP NNC CCT DTCP,21
VBW DTC JJN_CCP,21
CCB PRSP_CCP JJD_CCP,21
NNC RBL CCT JJD,21
FW CCP VBTS CCT,21
NNP CCP VBW CCB,21
VBAF DTC DTCP NNC,21
CCT NNC RBW_CCP NNP,21
NNC CCT CCT PRI_CCP,21
PRI_CCP JJD_CCP NNC CCB NNC,21
NNP LM VBTS CCB DTCP,21
NNC LM VBN_CCP,21
CCB NNC DTC NNP,21
LM VBTS CCB PRSP_CCP NNC,21
VBTS CCB NNP_CCP NNP,21
CCP CCT NNC CCB,21
CCP NNC CCB NNC CCA,21
NNC CCA NNC CCB DTCP NNC,21
RBL CCT NNC CCB NNC,21
DTC DTCP NNC CCT NNC CCB,21
VBTR CCT NNC CCP,21
CCA VBOF DTC DTCP NNC,21
LM RBL NNC CCB,21
DTC NNC LM VBOF,21
CCA DTC NNC CCT,21
NNC CCB NNC LM VBTS CCP,21
DTC VBTS RBW_CCP,21
CCT NNC CCT NNC CCB NNP,21
DTC NNP CCB NNP CCP,21
CCP NNC CCB NNP_PMC,21
RBW CCT PRI_CCP,21
JJD_CCP NNC CCB NNP LM,21
NNC_CCP JJD DTC,21
CCT JJD_CCP NNC_CCP,21
NNP LM VBTS CCB JJD_CCP NNC,21
NNC CCB RBI_CCP,21
NNC CCB PRSP_CCP DTCP,21
CCR PMS NNC DTC,21
PRQ_CCP NNC RBI,21
VBTS DTP NNP CCB,21
DTC NNC LM VBTF CCT,21
JJD_CCP NNC CCT NNC CCB NNP,21
CCP VBTS RBL CCT,21
NNPA CCT NNC CCB,21
PMS NNC CCP DTP,21
NNP RBW_CCP NNP CCB,21
NNP CCT NNC CCB NNC CCB,21
VBOF CCB DTCP NNC CCB,21
CCP NNC LM RBF,21
LM VBTS CCB JJD_CCP NNC CCT,21
NNC RBR CCT DTCP,21
PRSP_CCP DTCP NNC CCP,21
PRI RBI_CCP NNC CCT,21
VBTS PMS VBOF CCB,21
NNP NNP CCB NNP LM VBTS,20
CCT NNC_CCP JJD CCB,20
NNP RBK RBQ VBTS,20
LM PRI CCT DTCP,20
NNC CCB NNPA NNP,20
JJN_CCP NNC CCB NNC CCB,20
DTC NNC CCT NNC CCP,20
DTC VBTS CCT DTCP,20
NNC LM VBTS CCB NNC CCB,20
NNC DTC VBTS CCT NNC CCB,20
CCB NNPA CCP DTC,20
NNC CCB NNC CCT JJD_CCP,20
CCT NNC CCB DTCP NNC_PMP,20
JJD_CCP NNC CCP VBH,20
CCT PRI_CCP NNC CCP VBTS,20
CCT NNC CCB JJD CCP NNC,20
CCB CCR PMS JJD,20
DTCP NNC LM VBAF CCT,20
NNC CCT RBW_CCP,20
CCT NNC_CCP CDB,20
DTC JJCS_JJD_CCP NNC CCT,20
VBAF CCT NNC CCB NNC,20
NNC CCB NNC CCT NNP CCB,20
VBTF CCB JJD_CCP NNC,20
NNC_CCP CCR PMS,20
LM VBTS DTC PRSP_CCP,20
NNP CCP VBH NNC,20
NNC_CCP NNC CCT NNP,20
NNC CCA PRI_CCP NNC,20
NNC CCT NNC CCB NNP CCP,20
CCB JJD CCP NNC CCT NNC,20
NNC CCP DTP NNP NNP_PMP,20
NNP CCP VBAF CCB,20
CCT DTCP NNC CCA DTCP,20
PRS LM VBTR_VBAF,20
CCP VBTR DTC NNC,20
DTC NNC LM RBL,20
DTC NNC RBR CCT,20
CCP VBTR DTP NNP,20
NNC CCP VBTS CCB NNP,20
CCP NNC CCB FW,20
NNC CCT PRQ_CCP,20
NNC CCT NNC CCB NNP CCT,20
VBTS PRS DTC PRSP_CCP,20
NNC CCB CDB CCP NNC,20
NNC CCP VBH CDB,20
NNP CCT JJN_CCP NNC,20
VBTS DTC NNC CCP,20
NNC CCB VBW DTC NNC,20
JJD_CCP NNC LM VBTS CCT,20
CCT VBOF DTC NNC CCB,20
DTC NNC CCB NNC CCT NNC CCB,20
PRO LM VBTF CCB,20
CCT NNC CCB NNC RBW_CCP,20
NNC CCP VBH JJD_CCP,20
CCB JJD CCP DTCP,20
JJD_CCP DTCP NNC LM,20
CCT DTCP JJD_CCP NNC CCB,20
JJD_CCP NNC CCB NNP CCP,20
PRI CCT JJN_CCP,20
NNC CCT PRSP_CCP NNC CCT,20
JJD_CCP NNC RBR CCT,20
LM PRI_CCP JJD,20
NNC CCP VBTR CCB DTCP,20
DTC RBI_CCP PMS,20
NNC CCB NNP DTC NNC,20
VBTS DTC NNC_CCP,20
NNC LM VBOF CCT,20
DTC NNC CCB NNP_CCP,20
NNC CCT CCT JJD_CCP NNC,20
CCB PRI RBI_CCP NNC,20
VBN_CCP NNC CCT NNC,20
NNC CCT JJN PMS,20
DTCP JJD_CCP NNC CCB NNC,20
RBD_CCP VBW CCB NNC,20
CCP VBTS RBW_CCP NNP,20
DTCP JJN_CCP NNC CCB,20
CCT NNC CCP PRO_PMP,20
NNC CCB NNC DTC VBTS,20
PRSP_CCP NNC CCT CCT,20
NNC CCB DTCP VBTR,20
CCB RBF VBTF CCT,20
CCA VBTS DTC DTCP,20
CCB JJD_CCP NNC_CCP,20
PRI_CCP CDB PMS NNC_CCP,20
CCP VBW DTC NNC,20
VBTF CCT PRI_CCP NNC,20
CCP VBTF CCB NNC,20
CCT JJD CCP NNC CCP,20
CCB NNP CCA DTC,20
NNC CCT DTP NNP,20
PRO LM VBAF CCT,20
CCB NNP DTC VBTS,20
NNC CCT PRI_CCP NNC_PMP,20
CCB NNPA LM VBTS,20
NNP NNP NNP LM VBTS CCB,20
LM VBAF CCT PRI_CCP,20
LM RBM VBW CCB,20
CCT CCT NNC CCB DTCP,20
NNC CCB PRI_CCP JJD_CCP,20
DTCP NNP_CCP NNC,20
VBTR CCB JJN_CCP,20
DTC VBTS CCT NNP,20
NNC CCP VBTS DTP,20
CCT NNP NNP LM VBTS,20
VBTS CCB NNC DTP,20
CCP VBTR CCB NNC CCT,20
CCT NNC_CCP JJD CCT,20
NNP NNP LM VBAF CCB,20
CDB CCP NNC CCT NNC,20
CCT NNC CCP VBW,20
VBW CCB JJD CCP NNC,20
NNC CCB NNP_CCP NNP CCB,20
CCR CCT NNC_CCP,20
DTC PRSP_CCP JJN_CCP,20
NNC CCT JJD_CCP NNC CCT,20
VBTR_VBAF DTC NNC,20
VBS PRS_CCP VBW,20
LM VBTS CCT JJN_CCP,20
NNC CCP DTP NNP LM,20
VBOF DTC NNC CCT NNC CCB,20
NNC CCB JJD CCP NNC CCB,20
CCB NNC CCT JJD CCP,20
PRSP_CCP NNC CCP DTP NNP,20
JJCS_JJD CCP NNC CCB,20
NNP CCP DTP NNP NNP DTC,20
CCP VBAF CCT DTCP,20
RBW DTC PRSP_CCP,20
VBH JJD_CCP NNC CCT,20
RBR CCT NNC_CCP,20
NNP LM VBAF CCP,20
LM RBD_CCP VBOF DTC,20
NNC CCB NNC LM VBTF,20
JJD CCP NNC CCB NNC CCT,20
DTC NNC LM VBTS RBW,20
JJD_CCP NNC CCT NNC CCP,20
CCB NNP CCP DTC NNC,19
VBTS CCB NNC CCB NNP CCP,19
VBTR CCB PRSP_CCP,19
NNP CCB RBW_PMC,19
NNP NNP CCT NNC CCB NNP,19
RBD_CCP VBAF CCB,19
NNC CCB NNP NNP FW,19
CCB NNP LM VBTS CCT,19
CCP VBH DTCP NNC,19
VBOF CCB NNC CCP,19
CCP NNC CCA DTCP,19
NNC CCP VBTS PMS NNC,19
NNP RBW_CCP NNP_PMC,19
DTC DTCP NNC CCB NNC LM VBTS,19
DTC NNC CCT NNC_PMP,19
PMS NNC CCB NNC_CCP,19
DTCP NNC CCB VBOF,19
JJD_CCP NNC DTC VBTS,19
JJD_CCP NNC JJC,19
JJD_CCP NNC CCB NNC CCB NNP,19
JJN CCP NNC DTC,19
NNP CCB NNP CCT NNC,19
VBTR CCP NNC CCB,19
RBI_CCP NNC_PMP,19
CCT PRI_CCP NNC CCT NNP,19
CCA DTCP NNC_CCP,19
CCB NNP NNP DTC NNC,19
PRI_CCP NNC CCP DTC,19
DTC VBTR_CCP NNC,19
NNC LM VBTS CCB DTCP NNC,19
DTC NNC LM RBD,19
CCP VBOF CCB NNP,19
NNC CCP NNP LM,19
VBW CCB DTCP NNC CCB,19
NNP LM VBTS CCB JJD,19
DTP NNP NNP LM VBOF,19
NNC CCB NNP CCP NNP,19
NNC LM JJD_CCP,19
NNPA CCP DTP NNP NNP LM,19
CCT NNC CCP VBTS CCB,19
NNC CCB JJD_CCP NNC CCP,19
NNC CCP CDB PMS,19
LM VBAF CCB NNC CCT,19
DTCP NNC CCP VBAF CCT,19
NNC CCB NNC CCB NNP CCA,19
CCR CCT JJD CCP,19
NNC CCT DTCP JJD,19
CCB PRI_CCP FW,19
