Sentences,General_POS_Tagged,Detailed_POS_Tagged,Lemmatized
(5) mga halimbawa ng sanaysay (5) mga halimbawa ng talambuhay (5) mga halimbawa ng talumpati (5) mga halimbawa ng tula (8) pagsasanay (1) paksa (24) pambansang sagisag (1.,NN.* CD.* NN.* DT.* NN.* CC.* NN.* NN.* CD.* NN.* DT.* NN.* CC.* NN.* NN.* CD.* NN.* DT.* NN.* CC.* NN.* NN.* CD.* NN.* DT.* NN.* CC.* NN.* NN.* CD.* NN.* NN.* NN.* CD.* NN.* NN.* NN.* CD.* NN.* JJ.* NN.* NN.* CD.* PM.*,NNPA CDB NNPA DTCP NNC CCB NNC NNPA CDB NNPA DTCP NNC CCB NNC NNPA CDB NNPA DTCP NNC CCB NNC NNPA CDB NNPA DTCP NNC CCB NNC NNPA CDB NNPA NNC NNPA CDB NNPA NNC NNPA CDB NNPA JJD_CCP NNC NNPA CDB PMP,
Ay posible na gawin ang mga suso pagkatapos ng pagtitistis kung paano dagdagan ang dibdib na batang babae sa bahay sa 18 taon,FW JJ.* CC.* VB.* DT.* DT.* NN.* VB.* CC.* NN.* RB.* RB.* VB.* DT.* NN.* CC.* JJ.* NN.* CC.* NN.* CC.* CD.* NN.* PM.*,FW JJD CCP VBOF DTC DTCP NNC VBW CCB NNC RBK RBQ VBTF DTC NNC CCP JJD_CCP NNC CCT NNC CCT CDB NNC PMC,
dibdib pagpapalaki aling mga paraan kung ano ang magsuot maliit na suso.,NN.* VB.* PR.* DT.* NN.* RB.* RB.* DT.* VB.* JJ.* CC.* NN.* PM.*,NNC VBW PRQ_CCP DTCP NNC RBK RBQ DTC VBW JJD CCP NNC PMP,dibdib laki alin mga paraan kung ano ang suot liit na suso
Kung paano dagdagan ang lakas ng tunog sa suso para sa linggo pagtaas ng laki ng mga suso 3,RB.* RB.* VB.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* CC.* NN.* NN.* CC.* NN.* CC.* DT.* NN.* CD.* PM.*,RBK RBQ VBOF DTC NNC CCB NNC CCT NNC CCT CCT NNC NNC CCB NNC CCB DTCP NNC CDB PMC,
Walang katapusang pasasalamat sa aming mga guro sa kanilang dakilang tungkulin sa mga mag-aaral ang araw na ito ay ang katuparan ng pagtupad natin sa pangarap ng ating mga magulang ang pangarap nilang mabigyan ng tamang edukasyon ang kanilang mga anak.,VB.* NN.* RB.* CC.* PR.* DT.* NN.* CC.* PR.* JJ.* NN.* CC.* DT.* NN.* DT.* NN.* CC.* PR.* LM DT.* NN.* CC.* NN.* PR.* CC.* NN.* CC.* PR.* DT.* NN.* DT.* NN.* PR.* VB.* CC.* JJ.* NN.* DT.* PR.* DT.* NN.* PM.*,VBN_CCP NNC_CCP RBS CCT PRSP_CCP DTCP NNC CCT PRSP_CCP JJD_CCP NNC CCT DTCP NNC DTC NNC CCP PRO LM DTC NNC CCB NNC PRP CCT NNC CCB PRSP_CCP DTCP NNC DTC NNC PRP_CCP VBW CCB JJD_CCP NNC DTC PRSP_CCP DTCP NNC PMP,wala tapos salamat sa amin mga guro sa nila dakila tungkol sa mga aral ang araw na ito ay ang tupad ng tupad natin sa arap ng atin mga ulan ang arap nila bigyan ng tama edukasyon ang nila mga anak
Administrasyon,NN.* PM.*,NNC PMC,administrasyon
” alam ko na maraming beses na ito nabigkas sa mga talumpati ngayong taon,VB.* PR.* CC.* PR.* NN.* CC.* PR.* VB.* CC.* DT.* NN.* RB.* NN.* PM.*,VBS PRS CCP PRI_CCP NNC CCP PRO VBTS CCT DTCP NNC RBW_CCP NNC PMC,
pero ang kasabihang ito ang isa sa mga pinakaimportante na naipakilala sa atin dito sa mataas na paaralan.,CC.* DT.* NN.* PR.* DT.* PR.* CC.* DT.* JJ.* CC.* VB.* CC.* PR.* PR.* CC.* JJ.* CC.* NN.* PM.*,CCT DTC NNC_CCP PRO DTC PRI CCT DTCP JJCS_JJD CCP VBTS CCT PRSP PRL CCT JJD CCP NNC PMP,pero ang sabiha ito ang isa sa mga importante na kilala sa atin dito sa taas na paaralan
sana naintindihan kasi naalala ko noon dyan lang naman ako nagkaproblema.,VB.* VB.* CC.* VB.* PR.* RB.* VB.* RB.* RB.* PR.* VB.* PM.*,VBS VBTR CCR VBTS PRS RBW VBTS_VBOF RBI RBI PRS VBTR PMP,sana intindi kasi alala ko noon dyan lang naman ako roblema
lalo na ang kanyang papa.,JJ.* RB.* DT.* PR.* NN.* PM.*,JJCC RBI DTC PRSP_CCP NNC PMP,lalo na ang kanya papa
wala pa siyang nagiging boyfriend.,VB.* RB.* PR.* VB.* NN.* PM.*,VBN RBI PRS_CCP VBTR NNC PMP,wala pa siya igi boyfriend
Bawat kilos niya ay idinidikta ng ama.,PR.* NN.* PR.* LM VB.* CC.* NN.* PM.*,PRI NNC PRS LM VBTS CCB NNC PMP,bawat kilos niya ay dikta ng ama
Isang lalaki na kahit kailan ay hindi pa niya nakilala,PR.* NN.* CC.* CC.* PR.* LM RB.* RB.* PR.* VB.* PM.*,PRI_CCP NNC CCP CCT PRQ LM RBF RBI PRS VBTS PMC,isa laki na kahit ilan ay hindi pa niya kilala
Si Piolo ang kanyang hinangaan,DT.* NN.* DT.* PR.* VB.* PM.*,DTP NNP DTC PRSP_CCP VBTS_VBOF PMC,si Piolo ang kanya hanga
Namalikmata siya nang makita na ang babae ay nagtataglay ng maamong mukha.,VB.* PR.* RB.* VB.* CC.* DT.* NN.* LM VB.* CC.* JJ.* NN.* PM.*,VBTR PRS RBW VBW CCP DTC NNC LM VBTR CCB JJD_CCP NNC PMP,alikmata siya nang kita na ang babae ay taglay ng amo mukha
Ang sumunod na nadama niya ay,DT.* VB.* CC.* VB.* PR.* LM,DTC VBAF CCP VBTS PRS LM,ang sunod na dama niya ay
takot na mapabilang sa mga babaeng nahuhumaling dito.,JJ.* CC.* VB.* CC.* DT.* NN.* VB.* PR.* PM.*,JJD CCP VBW CCT DTCP NNC_CCP VBTR PRL PMP,takot na bilang sa mga bae hali dito
nagtaka pa siya sa sarili kung bakit nakadama siya ng simpatya rito.,VB.* RB.* PR.* CC.* NN.* RB.* RB.* VB.* PR.* CC.* NN.* PR.* PM.*,VBTS RBI PRS CCT NNC RBK RBQ VBTS PRS CCB NNC PRL PMP,nagtaka pa siya sa sarili kung bakit dama siya ng simpatya rito
Ngunit kung ako sa inyo,CC.* CC.* PR.* CC.* PR.* PM.*,CCT CCR PRS CCT PRSP PMC,gunit kung ako sa inyo
Ang telepono na kasama sa plan na pipiliin ninyo ay huhulugan sa pamamagitan ng pagsama nito sa plan na kukunin ninyo.,DT.* NN.* CC.* CC.* CC.* FW CC.* VB.* PR.* LM VB.* CC.* NN.* CC.* NN.* PR.* CC.* FW CC.* VB.* PR.* PM.*,DTC NNC CCP CCB CCT FW CCP VBTF PRP LM VBTF CCT NNC CCB NNC PRO CCT FW CCP VBTF_VBOF PRP PMP,ang telepono na sama sa plan na pili ninyo ay hulog sa amagit ng sama nito sa plan na kunin ninyo
maaaring mailapat ang karagdagang termino.,RB.* VB.* DT.* JJ.* NN.* PM.*,RBM VBW DTC JJD_CCP NNC PMP,maaaring lapat ang ragdaga termino
Tingnan ang Takdang Gamit para sa mga detalye.,VB.* DT.* NN.* VB.* CC.* CC.* DT.* NN.* PM.*,VBOF DTC NNP_CCP VBW CCT CCT DTCP NNC PMP,tingnan ang Takdang Gamit para sa mga detalye
alam na ni Gab ang regalo niya sa kanyang sarili.,VB.* RB.* DT.* NN.* DT.* NN.* PR.* CC.* PR.* NN.* PM.*,VBS RBI DTP NNP DTC NNC PRS CCT PRSP_CCP NNC PMP,alam na ni Gab ang regalo niya sa kanya sarili
MGA TANONG 1.,NN.* NN.* CD.* PM.*,NNPA NNP CDB PMP,
Manila.,NN.* PM.*,NNP PMP,ila
Kung mayroon pong mga problema na sumubok sa,CC.* VB.* PR.* DT.* NN.* CC.* VB.* CC.*,CCR VBH PRO_CCP DTCP NNC CCP VBAF CCT,kung roon pong mga problema na subok sa
Wala naman,VB.* RB.* PM.*,VBN RBI PMC,wala naman
basta nagdasal kami Makatulong sa mga talagang mahihirap atwala talagang tutulong sa kanila.,CC.* VB.* PR.* VB.* CC.* DT.* RB.* JJ.* NN.* RB.* VB.* CC.* PR.* PM.*,CCT VBTS PRP VBW CCT DTCP RBT_CCP JJD NNC RBT_CCP VBTF CCT PRSP PMP,basta dasal kami Makatulong sa mga talaga hirap atwala talaga tulong sa nila
Ang mga nakarehistrong manlalaro lang ang pwedeng makaboto ng walang pagpapatunay.,DT.* DT.* VB.* NN.* RB.* DT.* RB.* VB.* CC.* VB.* NN.* PM.*,DTC DTCP VBTS_CCP NNC RBI DTC RBT_CCP VBW CCB VBN_CCP NNC PMP,ang mga rehistro laro lang ang pwede boto ng wala tunay
Maaring sandaling tingnan ang mga ito.,RB.* RB.* VB.* DT.* DT.* PR.* PM.*,RBM RBW_CCP VBOF DTC DTCP PRO PMP,ari sandal tingnan ang mga ito
Hindi dapat ito hihigit sa isang buwang sahod (maliban sa Taiwan).,RB.* VB.* PR.* VB.* CC.* PR.* NN.* NN.* NN.* CC.* CC.* NN.* NN.* PM.*,RBF VBS PRO VBTF CCT PRI_CCP NNC_CCP NNC NNPA CCT CCT NNP NNPA PMP,hindi dapat ito higit sa isa buwan sahod liban sa Taiwan
PAUNAWA:,NN.* PM.*,NNPA PMS,unawa
Kung nagsasalita ka ng Tagalog,CC.* VB.* PR.* CC.* NN.* PM.*,CCR VBTR PRS CCB NNP PMC,kung salita ka ng Tagalog
maaari kang gumamit ng mga serbisyo ng tulong sa wika nang walang bayad.,VB.* PR.* VB.* CC.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* VB.* NN.* PM.*,VBS PRS_CCP VBAF CCB DTCP NNC CCB NNC CCT NNC CCB VBN_CCP NNC PMP,maaari kang gamit ng mga serbisyo ng tulong sa wika nang wala bayad
Tumawag sa 1-888-392-8886.,VB.* CC.* CD.* PM.*,VBAF CCT CDB PMP,
Dalawa:,CD.* PM.*,CDB PMS,dalawa
Huwag mag-alala,RB.* VB.* PM.*,RBF VBW PMC,huwag alala
"magpapadala kami ng isang dokumento na tinatawag na:""",VB.* PR.* CC.* PR.* NN.* CC.* VB.* CC.* PM.* PM.*,VBTF_VBAF PRP CCB PRI_CCP NNC CCP VBTR CCP PMS PMS,magpapadala kami ng isa dokumento na tawag na
"Hindi Pinirmahang Pahayag ng Balota"" na humihingi ng iyong lagda.",RB.* NN.* NN.* CC.* NN.* PM.* CC.* VB.* CC.* PR.* NN.* PM.*,RBF NNP_CCP NNP CCB NNP PMS CCP VBTR_VBAF CCB PRSP_CCP NNC PMP,hindi Pinirmahang Pahayag ng Balota na hingi ng iyo lagda
